Togo,tgo, 2017-06-29 to (2021-06-10),Direction générale de la Cartographie,https://salb.un.org/en/data/tgo,https://geoportal.un.org/arcgis/sharing/rest/content/items/5511de8cadfc4f6b88b121e34bbad95c/data
Tonga,ton,,"Tonga-Ministry of Lands, Survey and Natural Resources"
Trinidad and Tobago,tto,,Survey and Mapping Division
Tunisia,tun, 2020-12-30 to (2022-10-27),Office de la Topographie et de la Cartographie ,https://geoportal.un.org/arcgis/sharing/rest/content/items/c8c8f07ecd7d4393b3bc1f87d0fd99e3/data
Turkey,tur,,General Directorate of Land Registry and Cadastre (Tapu Kadastro Genel Mudurlugu) 
Turkmenistan,tkm,,"State Commite on Land Resources,Geodesy, Cartography and State Cadastre"
Tuvalu,tuv,,"Lands &amp; Survey Department,Ministry of Natural Resources"
Uganda,uga,,Surveys and Mapping Department 
Ukraine,ukr,,"The State Service of Ukraine for Geodesy, Cartography and Cadastre (Державна служба України з питань геодезії, картографії та кадастру)"
United Arab Emirates (the),are,,Military Survey Department
United Kingdom of Great Britain and Northern Ireland (the),gbr,,Her Majesty’s Land Registry
United Republic of Tanzania (the),tza,,"Surveys and Mapping Division,Ministry of Lands and Human, Settlements Development"
United States of America (the),usa,,"U.S. Census Bureau, Geography Division"
Uruguay,ury,,Comisión Directiva de Infraestructura de Datos Espaciales
Uzbekistan,uzb,,National Centre of Geodesy and Cartography of 
Vanuatu,vut,,Department of Land Survey
Venezuela (Bolivarian Republic of),ven,,Instituto Geográfico de Venezuela Simón Bolivar
Viet Nam,vnm,,Department of Survey and Mapping
Yemen,yem,,Survey Authority
Zambia,zmb, 2017-01-01 to (2021-03-22),Zambia Survey Department,https://salb.un.org/en/data/zmb,https://geoportal.un.org/arcgis/sharing/rest/content/items/a98d9d45eca8430487b21cb0ad98a7bb/data
Zimbabwe,zwe, 2007-00-00 to (2022-10-26),Department of the Surveyor General,https://salb.un.org/en/data/zwe,https://geoportal.un.org/arcgis/sharing/rest/content/items/6d6594238cf34d79986a5ede8d4cacc6/data
